draft_year,team,grp,need_rank,cap_rank_prop_in_need_space,cap_pred_elastic,cap_resid_elastic,cap_resid_elastic_std
2010,DET,single,1,21.666666666666668,13.343636363636364,-8.323030303030304,-0.8305869940985995
2010,GB,single,25,25.8,18.153333333333336,-7.646666666666665,-0.7630900826142886
2010,HOU,single,18,7.2,16.750505050505055,9.550505050505055,0.9530813890145708
2010,IND,single,26,29.933333333333334,18.353737373737378,-11.579595959595956,-1.1555721234675016
2010,MIN,single,14,15.466666666666667,15.948888888888892,0.4822222222222248,0.04812279800270315
2010,NE,single,20,9.266666666666667,17.151313131313135,7.884646464646467,0.7868389959143243
2010,NO,single,19,13.4,16.950909090909093,3.5509090909090926,0.3543587852926306
2010,NYG,single,10,27.866666666666667,15.147272727272728,-12.719393939393939,-1.2693169187466178
2010,NYJ,single,32,11.333333333333334,19.55616161616162,8.222828282828287,0.8205874516564796
2010,PHI,single,29,17.533333333333335,18.9549494949495,1.4216161616161642,0.14186850839757892
2010,SEA,single,9,5.133333333333334,14.946868686868688,9.813535353535354,0.9793301879251356
2010,SF,single,22,19.6,17.552121212121214,-2.047878787878787,-0.2043656486608291
2011,PHI,double,22,17.0,17.49324438439452,0.4932443843945187,0.047246751034547965
2011,ARI,single,7,2.0,16.113832122952196,14.113832122952196,1.3519316865109319
2011,BAL,single,28,8.0,18.04500928897145,10.04500928897145,0.962188456739032
2011,BUF,single,15,14.0,16.849518662388103,2.8495186623881033,0.2729488729515173
2011,CHI,single,24,29.0,17.677166019253498,-11.322833980746502,-1.0845883602923279
2011,DEN,single,2,20.0,15.654028035804755,-4.345971964195245,-0.41629071083599745
2011,HOU,single,3,23.0,15.745988853234245,-7.254011146765755,-0.6948451305204278
2011,NE,single,13,11.0,16.665597027529127,5.665597027529127,0.5426945763413711
2011,NYG,single,26,5.0,17.861087654112474,12.861087654112474,1.2319341601288856
2011,PIT,single,32,32.0,18.4128525586894,-13.587147441310599,-1.3014817659147202
2011,SF,single,11,26.0,16.481675392670148,-9.518324607329852,-0.9117385361428204
2012,MIN,double,5,10.090909090909092,9.392796943476798,-0.698112147432294,-0.09415491389922725
2012,ARI,single,17,19.181818181818183,15.19120125856838,-3.990616923249803,-0.5382175259309966
2012,BUF,single,11,5.545454545454546,12.291999101022588,6.746544555568042,0.9099115723500799
2012,CHI,single,26,16.909090909090907,19.540004494887064,2.630913585796158,0.35483330731036855
2012,CIN,single,24,7.818181818181818,18.573603775705134,10.755421957523316,1.4505919028699896
2012,DAL,single,10,1.0,11.808798741431623,10.808798741431623,1.4577908701298907
2012,DET,single,22,21.454545454545453,17.607203056523204,-3.847342398022249,-0.5188939822333684
2012,GB,single,7,14.636363636363637,10.359197662658728,-4.277165973704909,-0.5768646133262527
2012,NE,single,3,12.363636363636363,8.426396224294868,-3.9372401393414957,-0.5310185586710955
2012,NO,single,15,26.0,14.224800539386449,-11.775199460613551,-1.5881300668354608
