draft_year,team,db_picks_top3,double_db_top3,single_db_top3,db_capital_top3,total_capital_top3,db_cap_share,rank_prev,pct_prev,n_teams,need_rank,need_pct_eps,NDI_rank,NDI_pct_eps,ndi_rank_pctile,ndi_pct_eps_pctile
2007,DEN,0,0,0,0.0,1530.0,0.0,11.0,0.6774193548387097,32.0,0.34375,0.32258064516129026,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,DET,0,0,0,0.0,3390.0,0.0,29.0,0.0967741935483871,32.0,0.90625,0.9032258064516129,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,GB,0,0,0,0.0,1476.0,0.0,18.0,0.4516129032258065,32.0,0.5625,0.5483870967741935,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,KC,0,0,0,0.0,1300.0,0.0,23.0,0.2903225806451612,32.0,0.71875,0.7096774193548387,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,MIA,0,0,0,0.0,2150.0,0.0,13.0,0.6129032258064516,32.0,0.40625,0.3870967741935484,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,PHI,0,0,0,0.0,1025.0,0.0,7.0,0.8064516129032258,32.0,0.21875,0.19354838709677424,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,PIT,0,0,0,0.0,1695.0,0.0,16.0,0.5161290322580645,32.0,0.5,0.4838709677419355,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,SF,0,0,0,0.0,2120.0,0.0,27.0,0.1612903225806451,32.0,0.84375,0.8387096774193549,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,TB,0,0,0,0.0,2620.0,0.0,25.0,0.2258064516129032,32.0,0.78125,0.7741935483870968,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,OAK,0,0,0,0.0,3785.0,0.0,,,,,,,,,
2007,SD,1,0,1,530.0,1266.0,0.4186413902053712,,,,,,,,,
2007,STL,1,0,1,170.0,1700.0,0.1,,,,,,,,,
2008,NYG,2,1,0,876.0,996.0,0.8795180722891566,10.0,0.7096774193548387,32.0,0.3125,0.29032258064516125,2803.2,3017.3333333333335,0.9310344827586207,0.9310344827586207
