team,draft_year,grp,DCI_Year1,DCI_Year2,DCI_Year3,DCI_Year4,DCI_Year5
NYJ,2013,single,-0.0018908628152077543,0.0,0.0,0.0,0.0
NYJ,2014,double,-0.0014783235908920522,0.014390235951248784,0.0,0.0,0.0
NYJ,2015,zero,0.0,0.0,0.0,0.0,0.0
NYJ,2016,zero,0.0,0.0,0.0,0.0,0.0
NYJ,2017,double,0.0064618708418540255,0.029256071968505677,0.02911523122654605,0.0,0.0
NYJ,2018,zero,0.0,0.0,0.0,0.0,0.0
NYJ,2019,zero,0.0,0.0,0.0,0.0,0.0
NYJ,2020,single,-0.01829134773683951,-0.0005200819324260151,0.003106537636877739,0.0037009256678692684,0.0
NYJ,2021,zero,0.0,0.0,0.0,0.0,0.0
NYJ,2022,single,0.05688077711139853,0.04717353769902472,0.0,0.0,0.0
PHI,2013,zero,0.0,0.0,0.0,0.0,0.0
PHI,2014,zero,0.0,0.0,0.0,0.0,0.0
PHI,2015,single,0.0,0.0,0.0,0.0,0.0
PHI,2016,zero,0.0,0.0,0.0,0.0,0.0
PHI,2017,double,0.02314674697423177,-0.009390603360951459,0.0,0.0,0.0
PHI,2018,single,0.0,0.0,0.0,0.0,0.0
PHI,2019,zero,0.0,0.0,0.0,0.0,0.0
PHI,2020,zero,0.0,0.0,0.0,0.0,0.0
PHI,2021,zero,0.0,0.0,0.0,0.0,0.0
PHI,2022,zero,0.0,0.0,0.0,0.0,0.0
PIT,2013,zero,0.0,0.0,0.0,0.0,0.0
PIT,2014,zero,0.0,0.0,0.0,0.0,0.0
PIT,2015,single,0.0,0.0,0.0,0.0,0.0
PIT,2016,double,-0.010151302388183481,-0.006406242150310363,-0.0003841012436642681,0.0004981791283696477,0.0
PIT,2017,single,0.0,0.0004328196443882546,0.008291094287941234,0.015247995484207136,-0.0031827864062001277
PIT,2018,single,0.001692079817306535,0.012375974888341551,0.01598857462307583,-0.0030289460321088215,0.0
PIT,2019,single,0.0013888675824105159,0.00033013103453525,0.0,0.0,0.0
PIT,2020,zero,0.0,0.0,0.0,0.0,0.0
PIT,2021,zero,0.0,0.0,0.0,0.0,0.0
PIT,2022,zero,0.0,0.0,0.0,0.0,0.0
SEA,2013,zero,0.0,0.0,0.0,0.0,0.0
SEA,2014,zero,0.0,0.0,0.0,0.0,0.0
SEA,2015,zero,0.0,0.0,0.0,0.0,0.0
SEA,2016,zero,0.0,0.0,0.0,0.0,0.0
SEA,2017,single,0.03409419303457418,-0.007432880471211493,0.0,0.0,0.0
SEA,2018,zero,0.0,0.0,0.0,0.0,0.0
SEA,2019,single,0.0003387510542391417,0.001734412556421011,0.0,0.0,0.0
SEA,2020,zero,0.0,0.0,0.0,0.0,0.0
SEA,2021,single,0.0,0.0,0.0,0.0,0.0
SEA,2022,zero,0.0,0.0,0.0,0.0,0.0
SF,2013,single,0.0013753270525229374,0.003175004068054804,-0.03180083482992359,-0.03409960742060856,0.0
SF,2014,single,0.0010319216741923795,-0.029546441648551643,-0.020500635523333435,-0.011060851292809508,-0.01966202378248744
SF,2015,single,-0.02802059423063819,-0.029284292338819833,-0.013113029110896235,-0.01819347709641541,0.0022196918868437206
SF,2016,single,0.0,0.0,0.0,0.0,0.0
SF,2017,single,0.015116883397454293,0.014113721495884959,0.01977742016988321,0.0,0.0
SF,2018,zero,0.0012943416292894026,0.019994470600338907,0.0,0.00030965815277082543,0.0
SF,2019,zero,0.0,0.0,0.0,0.0,0.0
SF,2020,zero,0.0,0.0,0.0,0.0,0.0
SF,2021,zero,-0.00072014956476809,0.0,0.0,0.0,0.0
SF,2022,zero,0.0,0.0,0.0,0.0,0.0
TB,2013,single,0.02951547344487801,0.006019217330329111,0.0,0.0,0.0
TB,2014,zero,0.0,0.0,0.0,0.0,0.0
TB,2015,zero,0.0,0.0,0.0,0.0,0.0
TB,2016,single,-0.004207615393689232,-0.0013596946499412443,-0.013763492368357957,0.0,0.0
TB,2017,single,-0.010391992247512508,0.0,0.0,0.0,0.0
TB,2018,single,0.0,0.03663524309055632,0.03168995035600711,0.039910486158905405,0.02972138768192401
TB,2019,double,0.0733035206654143,0.07984061326740131,0.10252318287463982,0.02894940358628962,0.008946806625511769
TB,2020,single,0.0066192303002464885,0.006944801512203263,0.0,-0.01700232854342866,0.0
TB,2021,zero,0.0,0.0,0.0,0.0,0.0
TB,2022,zero,0.0,0.0,0.0,0.0,0.0
TEN,2013,single,0.0024797844279877673,0.002299407437394573,0.0,0.0,0.0
TEN,2014,zero,0.0,0.0,0.0,0.0,0.0
TEN,2015,zero,0.0,0.0,0.0,0.0,0.0
TEN,2016,zero,0.0,0.01686986595325193,0.02011700592180751,0.005909631356086567,-0.002022702294159584
TEN,2017,single,0.015478870294594532,0.012006291733968324,0.0010988774672414609,0.0,0.0
TEN,2018,single,0.0,0.0,0.0,0.0,0.0
TEN,2019,zero,0.0,0.0,0.0,0.0,0.0
TEN,2020,single,-0.005591942257217907,-0.0010930535499135464,-0.013586308089650572,0.0,0.0
TEN,2021,single,0.0009710956527999307,-0.0098399830339275,0.0,0.0,0.0
TEN,2022,single,-0.018086931253184398,-0.009317752354111844,0.0,0.0,0.0
WAS,2013,double,-0.018192342151098658,-0.0001846631292316656,0.0,0.0,0.0
WAS,2014,zero,0.0,0.0,0.0,0.0,0.0
WAS,2015,zero,0.0,0.0,0.0,0.0,0.0
WAS,2016,single,0.0015120124210922898,0.0,0.0,0.0019885358576163864,0.035518276074306
WAS,2017,single,0.01347915047587765,0.010813957179504247,0.0,0.0,0.0
WAS,2018,zero,0.0,0.0,0.0,0.0,0.0
WAS,2019,zero,0.0,0.0,0.0,0.0,0.0
WAS,2020,zero,0.0,0.0,0.0,0.0,0.0
WAS,2021,single,-0.029140461902693267,-0.010303022260936502,-0.04067007761169656,0.0,0.0
WAS,2022,zero,0.0,0.0,0.0,0.0,0.0
