player_key,pos_group,draft_season,round,pick,player_snaps_two_yr,team_snaps_two_yr,seasons_observed,snap_share_two_yr,bust,pos_code_main,pos_thresh,ABI_pos,bust_adj_pos,draft_year_x,team,team_def_snaps_3yr,draft_year_y,ewii,DCI,draft_year,grp
RICHIE GRANT,DB,2021,2,40,1392.0,2221.0,2,0.6267447095902746,0,SS,0.2516845475376784,2.4901994012820667,0,2021,ATL,37721.0,2021.0,0.02985296314968113,0.0011016496037845266,2021.0,single
ROCK YA-SIN,DB,2019,2,34,1401.0,1803.0,2,0.7770382695507487,0,CB,0.2661937642864212,2.9190701428853347,0,2019,IND,35364.0,2019.0,-0.16034265007517937,-0.006352224091033997,2019.0,single
ROGER MCCREARY,DB,2022,2,35,2099.0,2175.0,2,0.9650574712643678,0,CB,0.2661937642864212,3.6253947339877497,0,2022,TEN,37075.0,2022.0,-0.16507975035944858,-0.009345985057437155,2022.0,single
SAUCE GARDNER,DB,2022,1,4,2110.0,2145.0,2,0.9836829836829837,0,CB,0.2661937642864212,3.6953644887960366,0,2022,NYJ,37578.0,2022.0,0.676886659688165,0.03800710128112268,2022.0,single
SEAN MURPHY-BUNTING,DB,2019,2,39,1826.0,2475.0,2,0.7377777777777778,0,CB,0.2661937642864212,2.7715817451829485,0,2019,TAM,0.0,,,0.0,,unknown
TANNER MUSE,DB,2020,3,100,0.0,429.0,1,0.0,1,LB,0.2560338817712687,0.0,1,2020,LVR,0.0,,,0.0,,unknown
TAYLOR RAPP,DB,2019,2,61,1188.0,1600.0,2,0.7425,0,SS,0.2516845475376784,2.9501215202289854,0,2019,LAR,0.0,,,0.0,,unknown
TERRELL BURGESS,DB,2020,3,104,190.0,1801.0,2,0.10549694614103276,1,FS,0.2642123395618421,0.39928849014389023,1,2020,LAR,0.0,,,0.0,,unknown
TRAYVON MULLEN,DB,2019,2,40,1607.0,2124.0,2,0.7565913370998116,0,CB,0.2661937642864212,2.8422579286482783,0,2019,OAK,11449.0,,,0.0,,unknown
TRENT MCDUFFIE,DB,2022,1,21,2126.0,2192.0,2,0.9698905109489051,0,CB,0.2661937642864212,3.6435508305345383,0,2022,KAN,0.0,,,0.0,,unknown
TREVON DIGGS,DB,2020,2,51,1837.0,1980.0,2,0.9277777777777778,0,CB,0.2661937642864212,3.485347525945425,0,2020,DAL,39792.0,2020.0,0.1786917887433759,0.00824931684563685,2020.0,single
TYSON CAMPBELL,DB,2021,2,33,1719.0,1834.0,2,0.9372955288985824,0,CB,0.2661937642864212,3.521102499944604,0,2021,JAX,38274.0,2021.0,0.3409265869705932,0.015312034357591308,2021.0,single
WILL HARRIS,DB,2019,3,81,980.0,2256.0,2,0.43439716312056736,0,SS,0.2516845475376784,1.7259588138025679,0,2019,DET,37495.0,2019.0,-0.22957444164450025,-0.006000345454370189,2019.0,single
XAVIER MCKINNEY,DB,2020,2,36,1343.0,1584.0,2,0.8478535353535354,0,FS,0.2642123395618421,3.208985381831816,0,2020,NYG,38695.0,2020.0,0.4595323293784404,0.015949138605898576,2020.0,single
