full_name,position,career_length,position_group
Garrett Johnson,DL,3,DL
J.J. Johnson,RB,2,RB
Joe Johnson,DL,4,DL
Kevin Johnson,WR,13,WR
Keyshawn Johnson,WR,7,WR
Lee Johnson,SPEC,3,SP
Leon Johnson,RB,6,RB
Malcolm Johnson,WR,6,WR
Olrick Johnson,LB,1,LB
Pat Johnson,WR,6,WR
Raylee Johnson,DL,5,DL
Rob Johnson,QB,4,QB
Ted Johnson,LB,5,LB
Tre' Johnson,OL,2,OL
Lance Johnstone,DL,7,DL
Cedric Jones,DL,2,DL
Charlie Jones,WR,3,WR
Chris Jones,LB,15,LB
Clarence Jones,OL,1,OL
Damon Jones,TE,2,TE
Donta Jones,LB,1,LB
Freddie Jones,TE,5,TE
Greg Jones,LB,12,LB
Henry Jones,DB,3,DB
Isaac Jones,WR,1,WR
James Jones,DL,10,DL
K.C. Jones,OL,1,OL
Lenoy Jones,LB,3,LB
Marcus Jones,DL,5,DL
Marvin Jones,LB,15,LB
Mike A. Jones,LB,2,LB
Reggie Jones,WR,3,WR
Robert Jones,LB,6,LB
Rod Jones,OL,2,OL
Tebucky Jones,DB,6,DB
Tony Jones,OL,6,OL
Walter Jones,OL,10,OL
Andrew Jordan,TE,2,TE
Randy Jordan,RB,3,RB
Antony Jordan,LB,2,LB
Kerry Joseph,DB,2,DB
Matt Joyce,OL,5,OL
Trey Junkin,TE,3,TE
Joe Jurevicius,WR,8,WR
Paul Justin,QB,2,QB
N. D. Kalu,DL,2,DL
Danny Kanell,QB,3,QB
John Kasay,SPEC,12,SP
Andy Katzenmoyer,LB,2,LB
Napoleon Kaufman,RB,1,RB
Jevon Kearse,DL,10,DL
Brian Kelly,DB,9,DB
Jeff Kelly,LB,3,LB
Maurice Kelly,DB,2,DB
Reggie Kelly,TE,11,TE
Rob Kelly,DB,1,DB
Chad Kelsay,LB,1,LB
Pete Kendall,OL,9,OL
Cortez Kennedy,DL,1,DL
Lincoln Kennedy,OL,4,OL
Eddie Kennison,WR,9,WR
Joey Kent,WR,1,WR
Patrick Kerney,DL,10,DL
Joshua Keur,TE,1,TE
Danny Kight,SPEC,2,SP
Terry Killens,LB,3,LB
Brian Kinchen,TE,2,TE
Lamar King,DL,4,DL
Shaun King,QB,5,QB
Shawn King,DL,1,DL
Charles Kirby,RB,2,RB
Terry Kirby,RB,3,RB
Levon Kirkland,LB,3,LB
Travis Kirschke,DL,10,DL
Jon Kitna,QB,13,QB
Jimmy Kleinsasser,RB,2,RB
Sammy Knight,DB,9,DB
Tom Knight,DB,2,DB
Rob Konrad,RB,5,RB
George Koonce,LB,1,LB
Scott Kowalkowski,LB,2,LB
Brian Kozlowski,TE,8,TE
Olin Kreutz,OL,12,OL
Clint Kriewaldt,LB,8,LB
Brad Kubik,OL,1,OL
Ryan Kuehl,DL,6,DL
Jason Kyle,LB,11,LB
Matt LaBounty,DL,2,DL
Corbin Lacina,OL,4,OL
David LaFleur,TE,1,TE
Carnell Lake,DB,2,DB
Sean Landeta,SPEC,7,SP
Max Lane,OL,1,OL
Kenard Lang,DL,7,DL
Jevon Langford,DL,2,DL
Antonio Langham,DB,1,DB
Kwamie Lassiter,DB,7,DB
Ty Law,DB,10,DB
Ryan Leaf,QB,2,QB
Dwayne Ledford,OL,5,OL
Courtney Ledyard,LB,1,LB
Amp Lee,RB,2,RB
Jay Leeuwenburg,OL,1,OL
Matt Lepsis,OL,8,OL
Emarlos Leroy,DL,1,DL
Leon Lett,DL,2,DL
Dorsey Levens,RB,5,RB
Bashir Levingston,DB,1,DB
Chad Lewis,TE,6,TE
Darryll Lewis,DB,1,DB
Jeff Lewis,QB,1,QB
Jermaine Lewis,WR,5,WR
Mo Lewis,LB,2,LB
Ray Lewis,LB,13,LB
Jeremy Lincoln,DB,1,DB
Everett Lindsay,OL,4,OL
Steve Lindsey,SPEC,1,SP
Jonathan Linton,RB,1,RB
Earl Little,DB,6,DB
Leonard Little,LB,10,LB
Chris Liwienski,OL,8,OL
Kevin Lockett,WR,4,WR
Mike Lodish,DL,1,DL
Ernie Logan,DL,1,DL
James Logan,LB,1,LB
Mike Logan,DB,7,DB
Kevin Long,OL,2,OL
Ryan Longwell,SPEC,13,SP
Greg Lotysz,OL,1,OL
Kamil Loud,WR,1,WR
Clarence Love,DB,3,DB
David Loverne,OL,6,OL
Ray Lucas,QB,4,QB
Mike Lucky,TE,3,TE
