draft_year,team,pdx4_prev,perf_pct_prev,perf_rank_prev,n_teams,need_rank,need_pct,db_picks_top3,db_capital_top3,total_capital_top3,grp,cap_rank_raw,cap_rank_prop_in_need_space,need_rank_prop_in_cap_space,index_A,index_B,abs_index_A,abs_index_B,index_A_rank_signed,index_A_rank_abs,index_B_rank_signed,index_B_rank_abs,cap_pred_elastic,RMSE,cap_resid_elastic,cap_resid_elastic_std,ln_cap,ln_need,pred_frontier90,gap_to_frontier,frontier_eff
2015,NYG,-0.4591201312431858,0.2903225806451612,23,32,10,0.7096774193548387,1,580.0,2150.0,single,6.0,12.923076923076923,4.0,-2.9230769230769234,-2.0,2.9230769230769234,2.0,8.0,13.0,8.0,13.0,17.432594307801715,10.325469955449776,4.509517384724791,0.4367372530433514,6.363028103540465,2.302585092994046,6.680965668339164,0.31793756479869906,0.7276482178593408
2015,PHI,-0.5844163834659349,0.2258064516129032,25,32,8,0.7741935483870968,1,430.0,1450.0,single,9.0,20.076923076923077,3.0,-12.076923076923077,-6.0,12.076923076923077,6.0,12.0,7.0,12.0,5.0,17.650199646288783,10.325469955449776,-2.4267234306342935,-0.2350230489367189,6.063785208687608,2.0794415416798357,6.6318148853920285,0.5680296767044206,0.5666408051010143
2015,PIT,-0.7357746873535318,0.1612903225806451,27,32,6,0.8387096774193549,1,340.0,1275.0,single,11.0,24.846153846153847,2.0,-18.846153846153847,-9.0,18.846153846153847,9.0,14.0,4.0,14.0,2.0,17.867804984775848,10.325469955449776,-6.978348861377999,-0.6758383774769332,5.8289456176102075,1.791759469228055,6.568448505240852,0.7395028876306444,0.4773511537121657
2015,ATL,-1.1119206984103531,0.0,32,32,1,1.0,1,480.0,2105.0,single,7.0,15.307692307692308,1.0,-14.307692307692308,-6.0,14.307692307692308,6.0,13.0,6.0,12.0,5.0,18.41181833099351,10.325469955449776,3.1041260233012,0.3006280621312393,6.173786103901937,0.0,6.1737860547831325,-4.911880413516201e-08,1.0
2016,KC,1.5262251739993695,1.0,1,32,32,0.0,1,220.0,834.0,single,14.0,26.1875,17.0,5.8125,3.0,5.8125,3.0,8.0,13.0,7.0,11.0,19.067034082485343,9.93732872491474,-7.120465917514657,-0.716537221885628,5.393627546352362,3.4657359027997265,6.860675268197759,1.4670477218453968,0.2306052921697164
2016,CAR,1.4480126191413836,0.967741935483871,2,32,31,0.03225806451612903,2,489.0,1109.0,double,8.0,14.5625,16.0,16.4375,8.0,16.4375,8.0,3.0,6.0,3.0,6.0,18.89723027158164,9.93732872491474,4.334730271581641,0.4362067907357902,6.192362489474872,3.4339872044851463,6.870199427432221,0.6778369379573483,0.507714022396212
2016,CIN,1.294822269689411,0.935483870967742,3,32,30,0.06451612903225806,1,740.0,1245.0,single,6.0,10.6875,15.0,19.3125,9.0,19.3125,9.0,1.0,3.0,1.0,4.0,18.727426460677943,9.93732872491474,8.039926460677943,0.8090631479786258,6.606650186198215,3.4011973816621555,6.880035909253984,0.27338572305576836,0.7607992732044463
2016,DEN,1.2731176793576475,0.9032258064516128,4,32,29,0.0967741935483871,1,108.0,1084.0,single,17.0,32.0,14.0,-3.0,-3.0,3.0,3.0,11.0,15.0,11.0,11.0,18.557622649774245,9.93732872491474,-13.442377350225755,-1.352715374758933,4.68213122712422,3.367295829986474,6.890205893965018,2.2080746668407985,0.10991206226732997
2016,PIT,0.4580615598900652,0.7419354838709677,9,32,24,0.25806451612903225,2,1040.0,1185.0,double,4.0,6.8125,13.0,17.1875,9.0,17.1875,9.0,2.0,5.0,1.0,4.0,17.708603595255745,9.93732872491474,10.896103595255745,1.0964821529891808,6.946975992135418,3.1780538303479458,6.9469758100273,-1.821081188069229e-07,1.0
2016,MIN,0.4375260960627534,0.7096774193548387,10,32,23,0.2903225806451613,1,360.0,1172.0,single,9.0,16.5,12.0,6.5,3.0,6.5,3.0,7.0,11.0,7.0,11.0,17.538799784352047,9.93732872491474,1.0387997843520473,0.10453511331949622,5.886104031450156,3.1354942159291497,6.959743090772658,1.0736390593225025,0.34176255751169854
